Wall time,Step,Value
1622226026.9941719,0,1.1090097427368164
1622226149.5510237,1,0.9542615413665771
1622226272.570914,2,0.7786047458648682
1622226392.9073944,3,0.5165789127349854
1622226515.09668,4,0.5628347396850586
1622226637.7826567,5,0.5566567778587341
1622226757.079835,6,0.5376412272453308
1622226882.179796,7,0.3580949902534485
1622227005.8160386,8,0.4029392600059509
1622227129.5038059,9,0.3790532946586609
1622227248.5379152,10,0.21644927561283112
1622227377.849857,11,0.2227075695991516
1622227498.1234548,12,0.2494136095046997
1622227574.8870208,13,0.2636926770210266
1622227634.4413311,14,0.1169232726097107
