Wall time,Step,Value
1622219056.5948608,0,1.0479639768600464
1622219155.366897,1,0.8210361003875732
1622219254.033946,2,0.8391785621643066
1622219351.8697283,3,0.6459448337554932
1622219448.9636075,4,0.5438493490219116
1622219544.1585681,5,0.5906956195831299
1622219600.1512277,6,0.45327460765838623
1622219657.2941906,7,0.35573840141296387
1622219725.5766666,8,0.31744831800460815
1622219791.211368,9,0.36250677704811096
1622219858.0994968,10,0.24087101221084595
1622219928.2254915,11,0.31238681077957153
1622219996.4017932,12,0.1865985244512558
1622220059.5035384,13,0.17557884752750397
1622220125.0087464,14,0.17726358771324158
1622220192.4331064,15,0.1464819461107254
1622220258.303386,16,0.10286575555801392
1622220325.7229767,17,0.06943643093109131
1622220390.9393709,18,0.16750377416610718
1622220455.3326628,19,0.0978192389011383
